group	StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity	Samples
Cancer	-194.841168428371	810.10703609501	615.26586766664	0.767860850709231	bulk_C_23
Cancer	167.009875104358	1038.83296003958	1205.84283514394	0.7095119412704	bulk_C_24
Cancer	14.1585845691846	1134.53912179806	1148.69770636725	0.715398049434601	bulk_C_25
Cancer	-183.571711562613	628.215167039296	444.643455476682	0.783662852153858	bulk_C_26
Cancer	-106.882094741094	1043.89536658062	937.013271839522	0.736760329332621	bulk_C_27
Cancer	-719.878863570943	271.998761546657	-447.880102024286	0.85809732933354	bulk_C_28
Cancer	-1152.77972443975	233.076451389299	-919.70327305045	0.891574886710862	bulk_C_29
Cancer	-6.58724545511922	1324.3243460712	1317.73710061608	0.69784232569913	bulk_C_30
Cancer	50.3720007184557	1178.714849794	1229.08685051246	0.707103436103719	bulk_C_31
Cancer	-273.371001156127	483.246762449233	209.875761293105	0.804600145675001	bulk_C_32
Cancer	182.314865744678	1677.62364316478	1859.93850890946	0.638687807381609	bulk_C_33
Cancer	-601.556976639249	598.729462898646	-2.82751374060297	0.82274536402458	bulk_C_34
Cancer	446.542612725066	1894.0312215965	2340.57383432157	0.582856818936031	bulk_C_35
Cancer	-357.226691326562	844.087191631022	486.86050030446	0.779798354578155	bulk_C_36
Cancer	-543.38137133001	911.293905244933	367.912533914923	0.790609549355999	bulk_C_37
Cancer	-917.603923169678	528.208988023257	-389.394935146421	0.853657504451397	bulk_C_38
Cancer	-771.752642266192	1290.84987734994	519.097235083751	0.776827270888608	bulk_C_39
Cancer	468.345783381992	1503.97189596916	1972.31767935115	0.62590840735335	bulk_C_40
Cancer	-87.0335500794203	946.190621992797	859.157071913377	0.744439397712789	bulk_C_41
Cancer	-619.169764226751	624.642199722284	5.47243549553275	0.822052238911594	bulk_C_42
Cancer	481.244784665805	2485.60153884603	2966.84632351183	0.505801218530772	bulk_C_43
Cancer	-172.106131984589	682.682338910144	510.576206925555	0.777614301464296	bulk_C_44
Cancer	-471.415221137595	275.967896604812	-195.447324532783	0.83848580615581	bulk_C_45
Cancer	1142.36877552913	2516.5303500834	3658.89912561253	0.415711693177905	bulk_C_46
Cancer	-1028.79805029444	158.59940964826	-870.198640646179	0.88826047897296	bulk_C_47
Cancer	-422.471729042663	231.593508473088	-190.878220569575	0.83812014210035	bulk_C_48
Cancer	-384.818192757088	152.694985878507	-232.123206878581	0.841407287658624	bulk_C_49
Cancer	-947.483417300351	1190.72359886909	243.240181568739	0.801682283390997	bulk_C_50
Cancer	-662.078481952071	355.114141242261	-306.96434070981	0.847293143170182	bulk_C_51
Cancer	-58.6955117720425	1071.0409246656	1012.34541289356	0.729238605127963	bulk_C_52
Cancer	57.0159037596299	1581.49848209521	1638.51438585484	0.663355637396658	bulk_C_53
Cancer	1358.44070959183	2578.96246848899	3937.40317808082	0.378193440527325	bulk_C_54
Cancer	750.615113143571	2176.16110860822	2926.77622175179	0.510866397645231	bulk_C_55
