Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2Y-A9H1-01A-11R-A38B-07	0.00184342403997347	0	0.0419273742828791	0.147332843574164	0	0.0849593677840762	0	0.0440804898591344	0.236940596962612	0	0	0.0707932080473047	0	0.0973171233146451	0.0622421693583778	0.146248252409703	0.0108037442545094	0	0.0503747895847466	0	0	0.0051366165278746	0	0.0507499273706119	1.08366526958159
TCGA-CC-5262-01A-01R-A131-07	0.0383822244555243	0	0.0218523009734127	0.184075132572721	0	0.105953607540571	0	0.0344329498924102	0.0649935203383298	0	0	0.0476450313686246	0	0.100365546438621	0.0843171560042374	0.17876293245598	0.00686258945199517	0	0.0309751081888871	0	0	0.101381900318687	0	0.114486460358001	1.04502626806091
TCGA-DD-A4NF-01A-11R-A27V-07	0	0.0134388329317834	0.028486522659594	0	0	0.128552609122166	0	0.0156094442519499	0	0.00793354829364096	0	0.120062647080847	0.0621225707508868	0.0190510519489895	0.00526933765455012	0.276107782233801	0	0.0159694226456094	0.307396230426182	0	0	0	0	-0.0111309348942009	1.09799835221334
TCGA-DD-AADK-01A-11R-A41C-07	0.0906716589652542	0	0.091518456803492	0.063751066129571	0	0.17321827949413	0	0.0294121581683099	0.145744145413142	0	0	0.0585224647179573	0.0162611532287471	0.0408786788118492	0.0735140481875506	0.101988878738686	0.0817080507762485	0	0.0305126385293344	0	0	0.00229832203572766	0	0.245911113464271	0.986118881045738
TCGA-BC-A10U-01A-11R-A131-07	0	0.00218860333378992	0.00533416501066555	0.0667985493825945	0	0.173864884504511	0.00482348893239535	0	0.111321399828479	0	0.0623068613331668	0	0.0416296748497406	0.183798736859605	0.0156918261258261	0.208070386083054	0.01249523723321	0	0.110486157317868	0	0.00091666549300103	0.000273363712092618	0	0.0809186106532314	1.05489600434842
TCGA-DD-A4NP-01A-11R-A28V-07	0.0441212751253459	0	0.0438677921458496	0.069797217750123	0	0.0709379069473933	0	0.00960911655110444	0.0304819973970213	0	0.0560947376326258	0.0505089843816273	0.0133835969879834	0	0.0251573891838722	0.257891981250476	0	0	0.311423281967168	0	0	0.0167247226794102	0	0.000139974104068151	1.0882729411809
TCGA-FV-A3R2-01A-11R-A22L-07	0	0	0.00328405520684325	0.157911824346603	0	0.137596042841273	0	0.0144484458700259	0.126677861357325	0	0.00600318264523208	0.0101265269681727	0.000276654003781508	0.0828835853681048	0.128203705418974	0.213709452669655	0.0169945637419401	0.0453696300831451	0.0340363794284748	0	0	0.022478090050449	0	0.0279911728587179	1.09057521480613
TCGA-DD-AADF-01A-11R-A41C-07	0.0155673827290665	0.00299236134396258	0.256554322272273	0.219654448725451	0	0	0	0.0154432009160403	0.102215529140501	0	0	0.0557701759729552	0	0.0350046007670999	0.135601617078641	0.0544675513500953	0.0190074620261746	0	0.0692268050610432	0	0	0.0184945426166967	0	0.368839095577795	0.93837221690626
TCGA-ZP-A9D2-01A-11R-A38B-07	0.104362008766689	0	0.149722541859936	0.0688401867292254	0	0.187561201310951	0	0.0076292011011058	0.040376362536927	0	0	0.0139431669812789	0.00182362824916438	0.0745220526507952	0.0947603577609756	0.188391157937389	0	0	0.0427998819371104	0	0	0.0252682521784524	0	0.356141854096706	0.936874210774802
TCGA-DD-AACP-01A-11R-A41C-07	0.0506221880129432	0	0.0191617784151092	0.189238272265971	0	0.0516024201613503	0	0.0284014095814372	0.234986217942404	0	0	0.0741291291890961	0.00810517629407282	0.118099602739507	0.078242967625998	0.0439735353355489	0.0698425369209652	0	0.0329197761934084	0	0	0.000674989322189093	0	0.0557713150023298	1.08366445620924
TCGA-BD-A3ER-01A-11R-A213-07	0.0272101949939292	0	0.026946553965029	0.058139452046559	0	0.135764937751601	0	0.0125321070347384	0.157131307052722	0	0	0.060747512010056	0.0131656811442459	0.158959916173927	0.0631609215601465	0.225523091732328	0.0493930172509865	0	0.0018177580000897	0	0	0.00950754928364249	0	0.0663025503694918	1.06591881185964
TCGA-RC-A6M3-01A-11R-A32O-07	0.120510945439659	0	0.106377303518437	0.191444525696491	0	0.103172417567943	0.0353341836124739	0.0979699295263419	0.0836615153189803	0	0	0.014683042975151	0.00335625681985744	0.0484839876942889	0.0599437193729848	0.0953211249093854	0.0288435856917797	0	0	0.00457870332421595	0	0.00631875853201077	0	0.0680776515446144	1.0748805268355
TCGA-ZP-A9CY-01A-11R-A38B-07	0.0813603095106381	0	0.0199780102063625	0.0579270073554011	0	0.0678901164135671	0	0	0.0957041638475612	0.00206348723812111	0	0.0344610018194924	0.0278211561918997	0.131489578141881	0.142066830605358	0.248826781099123	0.0179579619273669	0	0.0651395818877377	0	0	0.00731401375549007	0	0.0812721983537915	1.0578514587234
TCGA-DD-AACA-02B-11R-A41C-07	0.0318958257411599	0.00673734332622616	0.0581647191932228	0	0	0.147460151904097	0	0.031157508998521	0.0233226664501686	0	0.0335055086632795	0.150172910561751	0.0968950533719027	0.166770379784816	0.0548565805935879	0.0415385925389885	0.0329642908665319	0	0.101944642540746	0	0	0.022613825465	0	0.0519837280318921	1.06526273459279
TCGA-BC-A110-01A-11R-A131-07	0.00181843100293009	0	0.068364371542546	0.087212927731898	0	0.20693008417085	0.0016051828929012	0.0096507417398644	0.0550432652651955	0	0.0124929546562008	0.00675196480443153	0.18902860255942	0.0323097584102554	0.06214401868299	0.176216116334494	0.0253902252767717	0	0.0539090934766996	0	0	0.011132261452551	0	0.121840089603696	1.02969592151067
